"Corruption_Perception_Index" "Mining_Investment" "Past_Conflicts" "Fines_Count" "Tax" "Conflicts" "Rainfall" "Elections"
"1" 3.3 12.55 0 0 6.97965e-05 0 -1 0
"2" 3.5 0.82 0 0 0.0001793303 1 -1 0
"3" 3.6 2.03 1 0 0.0007421721 5 0 0
"4" 3.7 8 5 0 0.0011119786 5 -1 1
"5" 3.5 12.6 5 0 0.001260504 6 -1 1
"6" 3.4 7.18 6 0 0 1 -1 0
"7" 3.8 9.09 1 0 0 1 -1 0
"8" 3.8 2.24 1 0 0 0 -1 0
"9" 3.8 0.27 0 0 0 1 -1 1
"10" 3.6 0.73 1 0 0 2 1 1
"11" 3.3 55.58 0 1 0.192454466 2 -1 0
"12" 3.5 100.46 2 0 0.2254489685 6 0 0
"13" 3.6 136.67 6 0 0.1200587825 7 0 0
"14" 3.7 464.43 7 2 0.0074474394 5 -1 1
"15" 3.5 823.2 5 10 0.0200318467 12 -1 1
"16" 3.4 913.84 12 13 0.06672065 15 -1 0
"17" 3.8 731.87 15 9 0.11151251 6 -1 0
"18" 3.8 470.7 6 5 0.02259339 3 -1 0
"19" 3.8 428.97 3 4 0 4 -1 1
"20" 3.6 321.4 4 2 0 2 1 1
"21" 3.3 34.14 0 0 0.192454466 0 -1 0
"22" 3.5 8.29 0 0 0.2254489685 4 -1 0
"23" 3.6 17.5 4 0 0.1200587825 10 0 0
"24" 3.7 11.68 10 1 0.0074474394 7 -1 1
"25" 3.5 837.59 7 0 0.0200318467 8 0 1
"26" 3.4 1061.12 8 1 0.06672065 8 0 0
"27" 3.8 1748.41 8 2 0.11151251 10 0 0
"28" 3.8 1677.39 10 1 0.02259339 3 -1 0
"29" 3.8 1536.73 3 1 0.02733203 4 -1 1
"30" 3.6 312.13 4 0 0.03207067 5 1 1
"31" 3.3 207.51 0 1 1.304805025 0 -1 0
"32" 3.5 228.67 0 0 4.57527413 0 -1 0
"33" 3.6 566.01 0 1 5.308458638 10 0 0
"34" 3.7 558.73 10 8 3.47511927 9 -1 1
"35" 3.5 484 9 3 6.626493369 1 1 1
"36" 3.4 744.89 1 6 7.42507913 0 1 0
"37" 3.8 1395.44 0 4 4.23516893 2 0 0
"38" 3.8 1998.62 2 0 3.83204567 4 0 0
"39" 3.8 1821.07 4 4 3.56823877 17 0 1
"40" 3.6 354.74 17 1 0.21985207 3 1 1
"41" 3.3 9.66 0 0 0.2044137531 1 -1 0
"42" 3.5 8.57 1 0 0.4120625075 0 0 0
"43" 3.6 37.36 0 0 0.0950286933 11 0 0
"44" 3.7 70.05 11 0 0.3432403107 6 -1 1
"45" 3.5 92.92 6 1 0.5745333281 5 -1 1
"46" 3.4 103.2 5 0 0.78533235 5 -1 0
"47" 3.8 88.85 5 0 0.14434072 1 0 0
"48" 3.8 55.25 1 0 0.03308869 2 -1 0
"49" 3.8 138.92 2 1 0.09649464 2 -1 1
"50" 3.6 67.78 2 1 0.15023097 1 1 1
"51" 3.3 274.03 0 0 4.251682941 7 -1 0
"52" 3.5 360.84 7 1 1.833486318 13 -1 0
"53" 3.6 283.43 13 1 2.281050534 18 0 0
"54" 3.7 554.65 18 8 4.116895706 10 -1 1
"55" 3.5 1437.41 10 6 4.176716204 12 -1 1
"56" 3.4 1303.16 12 7 5.11882815 24 -1 0
"57" 3.8 579.23 24 11 5.02123695 19 -1 0
"58" 3.8 349.47 19 11 3.51470803 15 -1 0
"59" 3.8 303.86 15 0 2.09812696 13 -1 1
"60" 3.6 243.13 13 3 2.16889851 6 1 1
"61" 3.3 0 0 0 9.194e-07 0 -1 0
"62" 3.5 0 0 0 1.887e-05 0 0 0
"63" 3.6 0.06 0 0 3.1e-07 0 0 0
"64" 3.7 0.16 0 0 0 0 -1 1
"65" 3.5 0.16 0 0 0 0 -1 1
"66" 3.4 0.35 0 0 0 0 -1 0
"67" 3.8 0.43 0 0 0 0 -1 0
"68" 3.8 0.48 0 0 0 0 -1 0
"69" 3.8 0.68 0 0 0 0 -1 1
"70" 3.6 0.66 0 0 0 0 1 1
"71" 3.3 282 0 0 2.343419223 0 -1 0
"72" 3.5 330.64 0 0 2.424064591 3 -1 0
"73" 3.6 367.11 3 0 1.352739049 15 -1 0
"74" 3.7 683.86 15 0 1.0363888 4 0 1
"75" 3.5 681.45 4 0 1.700828989 7 1 1
"76" 3.4 454.5 7 5 3.39351658 10 0 0
"77" 3.8 1170.34 10 0 0.33270672 2 1 0
"78" 3.8 1311.73 2 0 1.009 2 0 0
"79" 3.8 879.96 2 1 1.37066947 3 0 1
"80" 3.6 699.1 3 0 0.49043316 2 1 1
"81" 3.3 42.44 0 0 0.353383175 2 -1 0
"82" 3.5 80.73 2 0 0.4807985322 1 0 0
"83" 3.6 71.99 1 1 0.1685368439 6 0 0
"84" 3.7 95.88 6 7 0.0578900454 5 -1 1
"85" 3.5 106.62 5 11 0.0853620609 6 -1 1
"86" 3.4 138.29 6 5 0.17736468 1 -1 0
"87" 3.8 101.42 1 5 0.09378224 0 0 0
"88" 3.8 64.52 0 2 0.03403181 1 -1 0
"89" 3.8 48.91 1 1 0.01866357 0 -1 1
"90" 3.6 42.47 0 0 0.00095516 0 1 1
"91" 3.3 0 0 0 0.0982092594 0 -1 0
"92" 3.5 0 0 1 0.0772857598 0 0 0
"93" 3.6 5.39 0 0 0.0268287045 3 0 0
"94" 3.7 9.03 3 2 0.0164335867 3 -1 1
"95" 3.5 25.68 3 1 0.0432295521 1 -1 1
"96" 3.4 26 1 3 0.03927606 3 -1 0
"97" 3.8 23.78 3 2 0.01043266 0 -1 0
"98" 3.8 18.78 0 0 0.00125379 1 -1 0
"99" 3.8 25.14 1 0 0.00805115 0 -1 1
"100" 3.6 38.23 0 0 0.00022722 1 1 1
"101" 3.3 1.22 0 0 0.5038327807 0 -1 0
"102" 3.5 41.66 0 0 0.6865214097 0 0 0
"103" 3.6 19.14 0 0 1.104795588 0 0 0
"104" 3.7 37.98 0 1 0.6734232037 0 -1 1
"105" 3.5 110.43 0 0 2.019878266 0 -1 1
"106" 3.4 178.8 0 0 3.18444709 0 -1 0
"107" 3.8 286.26 0 0 1.76757754 0 0 0
"108" 3.8 348.5 0 1 2.34651201 0 -1 0
"109" 3.8 298.13 0 1 1.26136075 0 -1 1
"110" 3.6 179.46 0 1 0.56638873 0 1 1
"111" 3.3 21.09 0 1 1.059570475 0 -1 0
"112" 3.5 78.27 0 3 1.232298747 2 0 0
"113" 3.6 92.04 2 0 0.3890755387 7 0 0
"114" 3.7 155.07 7 3 0.6300250714 4 -1 1
"115" 3.5 973.39 4 5 0.7866359575 7 -1 1
"116" 3.4 1485.41 7 16 0.950310096 5 -1 0
"117" 3.8 1524.02 5 11 0.604445916 1 0 0
"118" 3.8 687.99 1 3 0.32192363 1 -1 0
"119" 3.8 566.93 1 3 0.15536482 0 -1 1
"120" 3.6 282.28 0 0 0.25434253 1 1 1
"121" 3.3 82.7 0 1 2.500475792 2 -1 0
"122" 3.5 114.43 2 2 2.647992466 2 -1 0
"123" 3.6 209.81 2 0 3.720547575 0 0 0
"124" 3.7 269.59 0 3 4.223255356 4 -1 1
"125" 3.5 399.3 4 18 4.593405071 1 -1 1
"126" 3.4 678.66 1 12 5.09767922 6 -1 0
"127" 3.8 631.87 6 10 5.18505405 3 -1 0
"128" 3.8 523.04 3 5 3.58192493 0 -1 0
"129" 3.8 498.98 0 0 2.81694931 0 -1 1
"130" 3.6 489.8 0 2 2.53360994 3 1 1
"131" 3.3 0 0 0 0 0 -1 0
"132" 3.5 0.22 0 0 0 4 -1 0
"133" 3.6 0.27 4 0 0.0027409537 3 0 0
"134" 3.7 0.21 3 0 0.00115757 1 -1 1
"135" 3.5 0.1 1 0 0.0050182861 0 -1 1
"136" 3.4 0.44 0 0 0.00422228 2 -1 0
"137" 3.8 2.28 2 0 0.00090656 0 -1 0
"138" 3.8 0.19 0 0 0 2 -1 0
"139" 3.8 0.92 2 0 0 2 -1 1
"140" 3.6 0.73 2 0 0 0 1 1
"141" 3.3 95.93 0 1 1.780816345 0 -1 0
"142" 3.5 122.94 0 2 1.833664974 2 0 0
"143" 3.6 335.34 2 0 0.6827915169 11 0 0
"144" 3.7 375 11 2 0.7248813585 4 -1 1
